147.997, 1934, Aug Average, Uganda, UGA
65.5273, 1934, Sep Average, Uganda, UGA
110.295, 1934, Oct Average, Uganda, UGA
88.974, 1934, Nov Average, Uganda, UGA
78.3754, 1934, Dec Average, Uganda, UGA
8.92322, 1935, Jan Average, Uganda, UGA
94.1926, 1935, Feb Average, Uganda, UGA
74.8771, 1935, Mar Average, Uganda, UGA
137.422, 1935, Apr Average, Uganda, UGA
196.191, 1935, May Average, Uganda, UGA
146.705, 1935, Jun Average, Uganda, UGA
36.5894, 1935, Jul Average, Uganda, UGA
89.2737, 1935, Aug Average, Uganda, UGA
130.453, 1935, Sep Average, Uganda, UGA
125.223, 1935, Oct Average, Uganda, UGA
78.2969, 1935, Nov Average, Uganda, UGA
84.2012, 1935, Dec Average, Uganda, UGA
73.5323, 1936, Jan Average, Uganda, UGA
104.088, 1936, Feb Average, Uganda, UGA
109.246, 1936, Mar Average, Uganda, UGA
174.208, 1936, Apr Average, Uganda, UGA
84.9787, 1936, May Average, Uganda, UGA
137.591, 1936, Jun Average, Uganda, UGA
71.4337, 1936, Jul Average, Uganda, UGA
92.3519, 1936, Aug Average, Uganda, UGA
125.538, 1936, Sep Average, Uganda, UGA
87.4841, 1936, Oct Average, Uganda, UGA
50.7181, 1936, Nov Average, Uganda, UGA
88.5199, 1936, Dec Average, Uganda, UGA
29.2336, 1937, Jan Average, Uganda, UGA
88.9312, 1937, Feb Average, Uganda, UGA
122.343, 1937, Mar Average, Uganda, UGA
162.238, 1937, Apr Average, Uganda, UGA
181.866, 1937, May Average, Uganda, UGA
114.139, 1937, Jun Average, Uganda, UGA
97.5006, 1937, Jul Average, Uganda, UGA
83.7821, 1937, Aug Average, Uganda, UGA
93.8074, 1937, Sep Average, Uganda, UGA
127.159, 1937, Oct Average, Uganda, UGA
154.694, 1937, Nov Average, Uganda, UGA
39.3668, 1937, Dec Average, Uganda, UGA
24.6261, 1938, Jan Average, Uganda, UGA
27.5098, 1938, Feb Average, Uganda, UGA
82.8821, 1938, Mar Average, Uganda, UGA
131.261, 1938, Apr Average, Uganda, UGA
131.018, 1938, May Average, Uganda, UGA
94.6551, 1938, Jun Average, Uganda, UGA
103.26, 1938, Jul Average, Uganda, UGA
122.218, 1938, Aug Average, Uganda, UGA
127.4, 1938, Sep Average, Uganda, UGA
120.722, 1938, Oct Average, Uganda, UGA
56.6254, 1938, Nov Average, Uganda, UGA
47.6523, 1938, Dec Average, Uganda, UGA
25.5896, 1939, Jan Average, Uganda, UGA
74.9654, 1939, Feb Average, Uganda, UGA
85.6877, 1939, Mar Average, Uganda, UGA
140.57, 1939, Apr Average, Uganda, UGA
103.124, 1939, May Average, Uganda, UGA
69.5139, 1939, Jun Average, Uganda, UGA
95.6522, 1939, Jul Average, Uganda, UGA
110.957, 1939, Aug Average, Uganda, UGA
86.2209, 1939, Sep Average, Uganda, UGA
95.3914, 1939, Oct Average, Uganda, UGA
105.241, 1939, Nov Average, Uganda, UGA
26.5188, 1939, Dec Average, Uganda, UGA
66.5491, 1940, Jan Average, Uganda, UGA
109.121, 1940, Feb Average, Uganda, UGA
127.715, 1940, Mar Average, Uganda, UGA
157.036, 1940, Apr Average, Uganda, UGA
136.977, 1940, May Average, Uganda, UGA
58.3685, 1940, Jun Average, Uganda, UGA
106.467, 1940, Jul Average, Uganda, UGA
133.035, 1940, Aug Average, Uganda, UGA
72.7108, 1940, Sep Average, Uganda, UGA
79.7924, 1940, Oct Average, Uganda, UGA
