68.9252, 1938, Dec Average, Kenya, KEN
18.5495, 1939, Jan Average, Kenya, KEN
19.5223, 1939, Feb Average, Kenya, KEN
37.416, 1939, Mar Average, Kenya, KEN
120.158, 1939, Apr Average, Kenya, KEN
86.4449, 1939, May Average, Kenya, KEN
30.3633, 1939, Jun Average, Kenya, KEN
28.7567, 1939, Jul Average, Kenya, KEN
26.5745, 1939, Aug Average, Kenya, KEN
16.505, 1939, Sep Average, Kenya, KEN
40.6881, 1939, Oct Average, Kenya, KEN
61.3589, 1939, Nov Average, Kenya, KEN
16.5842, 1939, Dec Average, Kenya, KEN
32.9857, 1940, Jan Average, Kenya, KEN
59.8101, 1940, Feb Average, Kenya, KEN
110.138, 1940, Mar Average, Kenya, KEN
181.512, 1940, Apr Average, Kenya, KEN
76.3831, 1940, May Average, Kenya, KEN
25.5239, 1940, Jun Average, Kenya, KEN
32.903, 1940, Jul Average, Kenya, KEN
33.0056, 1940, Aug Average, Kenya, KEN
14.5796, 1940, Sep Average, Kenya, KEN
51.6286, 1940, Oct Average, Kenya, KEN
71.9633, 1940, Nov Average, Kenya, KEN
24.1124, 1940, Dec Average, Kenya, KEN
12.8198, 1941, Jan Average, Kenya, KEN
23.6194, 1941, Feb Average, Kenya, KEN
71.2479, 1941, Mar Average, Kenya, KEN
180.578, 1941, Apr Average, Kenya, KEN
93.6319, 1941, May Average, Kenya, KEN
49.7442, 1941, Jun Average, Kenya, KEN
23.9766, 1941, Jul Average, Kenya, KEN
27.5639, 1941, Aug Average, Kenya, KEN
20.4271, 1941, Sep Average, Kenya, KEN
64.023, 1941, Oct Average, Kenya, KEN
109.245, 1941, Nov Average, Kenya, KEN
95.1491, 1941, Dec Average, Kenya, KEN
16.2784, 1942, Jan Average, Kenya, KEN
12.694, 1942, Feb Average, Kenya, KEN
122.272, 1942, Mar Average, Kenya, KEN
136.456, 1942, Apr Average, Kenya, KEN
124.399, 1942, May Average, Kenya, KEN
32.1036, 1942, Jun Average, Kenya, KEN
23.3571, 1942, Jul Average, Kenya, KEN
35.1298, 1942, Aug Average, Kenya, KEN
13.0698, 1942, Sep Average, Kenya, KEN
22.2846, 1942, Oct Average, Kenya, KEN
76.6366, 1942, Nov Average, Kenya, KEN
25.491, 1942, Dec Average, Kenya, KEN
11.452, 1943, Jan Average, Kenya, KEN
38.5511, 1943, Feb Average, Kenya, KEN
23.3454, 1943, Mar Average, Kenya, KEN
106.143, 1943, Apr Average, Kenya, KEN
93.7849, 1943, May Average, Kenya, KEN
52.3257, 1943, Jun Average, Kenya, KEN
30.7654, 1943, Jul Average, Kenya, KEN
35.1698, 1943, Aug Average, Kenya, KEN
21.0039, 1943, Sep Average, Kenya, KEN
22.1716, 1943, Oct Average, Kenya, KEN
43.6632, 1943, Nov Average, Kenya, KEN
50.9902, 1943, Dec Average, Kenya, KEN
40.0735, 1944, Jan Average, Kenya, KEN
7.40977, 1944, Feb Average, Kenya, KEN
49.373, 1944, Mar Average, Kenya, KEN
125.446, 1944, Apr Average, Kenya, KEN
72.4918, 1944, May Average, Kenya, KEN
30.4578, 1944, Jun Average, Kenya, KEN
39.0185, 1944, Jul Average, Kenya, KEN
31.7514, 1944, Aug Average, Kenya, KEN
39.0178, 1944, Sep Average, Kenya, KEN
65.6033, 1944, Oct Average, Kenya, KEN
100.512, 1944, Nov Average, Kenya, KEN
56.2349, 1944, Dec Average, Kenya, KEN
13.9588, 1945, Jan Average, Kenya, KEN
17.9948, 1945, Feb Average, Kenya, KEN
21.155, 1945, Mar Average, Kenya, KEN
35.9688, 1945, Apr Average, Kenya, KEN
132.741, 1945, May Average, Kenya, KEN
45.2166, 1945, Jun Average, Kenya, KEN
37.1159, 1945, Jul Average, Kenya, KEN
44.2178, 1945, Aug Average, Kenya, KEN
37.1258, 1945, Sep Average, Kenya, KEN
32.5337, 1945, Oct Average, Kenya, KEN
91.5395, 1945, Nov Average, Kenya, KEN
31.5219, 1945, Dec Average, Kenya, KEN
5.46274, 1946, Jan Average, Kenya, KEN
4.19412, 1946, Feb Average, Kenya, KEN
23.2328, 1946, Mar Average, Kenya, KEN
122.606, 1946, Apr Average, Kenya, KEN
81.3824, 1946, May Average, Kenya, KEN
38.6147, 1946, Jun Average, Kenya, KEN
27.9798, 1946, Jul Average, Kenya, KEN
52.7457, 1946, Aug Average, Kenya, KEN
59.0558, 1946, Sep Average, Kenya, KEN
78.9242, 1946, Oct Average, Kenya, KEN
47.3983, 1946, Nov Average, Kenya, KEN
28.0035, 1946, Dec Average, Kenya, KEN
45.5338, 1947, Jan Average, Kenya, KEN
19.9834, 1947, Feb Average, Kenya, KEN
84.2243, 1947, Mar Average, Kenya, KEN
175.386, 1947, Apr Average, Kenya, KEN
111.822, 1947, May Average, Kenya, KEN
42.449, 1947, Jun Average, Kenya, KEN
34.84, 1947, Jul Average, Kenya, KEN
40.9135, 1947, Aug Average, Kenya, KEN
44.0985, 1947, Sep Average, Kenya, KEN
30.6686, 1947, Oct Average, Kenya, KEN
62.2464, 1947, Nov Average, Kenya, KEN
45.6996, 1947, Dec Average, Kenya, KEN
8.27362, 1948, Jan Average, Kenya, KEN
17.3624, 1948, Feb Average, Kenya, KEN
58.3398, 1948, Mar Average, Kenya, KEN
127.601, 1948, Apr Average, Kenya, KEN
59.2628, 1948, May Average, Kenya, KEN
39.9955, 1948, Jun Average, Kenya, KEN
35.7171, 1948, Jul Average, Kenya, KEN
28.8497, 1948, Aug Average, Kenya, KEN
21.6312, 1948, Sep Average, Kenya, KEN
78.0635, 1948, Oct Average, Kenya, KEN
83.3957, 1948, Nov Average, Kenya, KEN
70.1258, 1948, Dec Average, Kenya, KEN
6.59161, 1949, Jan Average, Kenya, KEN
13.7638, 1949, Feb Average, Kenya, KEN
8.30897, 1949, Mar Average, Kenya, KEN
114.329, 1949, Apr Average, Kenya, KEN
69.2477, 1949, May Average, Kenya, KEN
27.0968, 1949, Jun Average, Kenya, KEN
36.113, 1949, Jul Average, Kenya, KEN
28.9946, 1949, Aug Average, Kenya, KEN
28.6309, 1949, Sep Average, Kenya, KEN
23.1409, 1949, Oct Average, Kenya, KEN
34.2251, 1949, Nov Average, Kenya, KEN
61.5189, 1949, Dec Average, Kenya, KEN
16.3721, 1950, Jan Average, Kenya, KEN
8.73961, 1950, Feb Average, Kenya, KEN
93.9962, 1950, Mar Average, Kenya, KEN
134.719, 1950, Apr Average, Kenya, KEN
